id,created_at,user_id,product_id,quantity,unit_price
2059,2017-07-20T21:15:35.567Z,286,120,46,55.670000
1857,2018-04-10T21:26:19.545Z,261,147,23,44.430000
1769,2017-03-04T18:05:05.784Z,246,155,13,29.180000
1685,2018-08-25T10:35:43.551Z,236,52,10,69.120000
1638,2018-06-07T14:00:00.269Z,233,136,58,70.140000
1550,2020-02-08T14:58:15.033Z,222,57,11,81.610000
1532,2018-11-21T09:39:48.937Z,218,21,16,40.380000
1475,2019-07-03T00:41:03.541Z,211,128,53,50.050000
1439,2018-12-27T11:18:55.673Z,204,104,15,70.960000
1357,2020-01-17T15:05:21.923Z,179,73,16,47.750000
1199,2018-10-22T05:07:06.089Z,155,182,68,56.330000
1156,2018-04-01T03:17:01.997Z,153,176,25,38.620000
982,2019-03-05T04:56:34.689Z,138,22,12,21.420000
832,2019-07-13T12:12:17.406Z,112,166,34,25.540000
571,2017-07-16T09:00:57.888Z,70,60,45,19.870000
489,2020-04-13T22:31:06.897Z,65,181,33,95.930000
349,2019-08-26T17:56:18.766Z,50,10,10,31.790000
346,2018-04-20T16:28:46.875Z,49,6,26,64.960000
118,2018-12-18T04:49:24.384Z,18,37,29,53.410000
108,2017-12-01T06:15:20.772Z,17,127,18,89.650000
2076,2017-03-18T05:25:41.613Z,289,38,0,44.050000
1760,2019-03-26T02:32:30.347Z,246,39,0,76.390000
1613,2019-03-21T02:24:15.633Z,228,22,0,21.420000
1596,2019-03-21T15:05:11.827Z,226,124,0,73.950000
1595,2020-03-11T00:38:40.864Z,226,119,0,28.960000
1280,2020-03-25T19:21:17.073Z,169,14,0,25.100000
1278,2018-03-19T21:46:00.829Z,169,4,0,73.990000
1066,2017-03-26T12:14:22.315Z,149,99,0,45.220000
969,2020-03-29T02:55:56.950Z,136,147,0,44.430000
100,2017-03-28T22:58:05.087Z,17,84,0,54.580000
1449,2017-08-17T18:50:00.143Z,205,159,9,23.690000
1342,2017-08-01T10:32:40.486Z,177,38,9,44.050000
1261,2017-08-23T19:13:46.055Z,159,147,9,44.430000
811,2017-08-20T16:11:41.912Z,111,143,9,40.800000
2000,2016-08-17T15:38:02.429Z,276,109,9,79.370000
1906,2019-08-26T12:27:51.086Z,269,80,9,36.610000
1568,2017-08-06T01:18:04.109Z,223,7,9,98.820000
1521,2018-08-16T14:57:08.410Z,217,166,9,25.540000
1371,2018-08-04T08:12:32.324Z,183,154,9,54.580000
